"Reservoir","Site","Date","WaterLevel_m"
"BVR",50,2020-09-04,11.0476141165278
"BVR",50,2020-09-05,11.0336369749306
"BVR",50,2020-09-06,11.021527020625
"BVR",50,2020-09-07,11.0105785627083
"BVR",50,2020-09-08,10.9994133201389
"BVR",50,2020-09-09,11.004668371087
"BVR",50,2020-09-10,11.013598916875
"BVR",50,2020-09-11,11.0054483064583
"BVR",50,2020-09-12,10.999055585625
"BVR",50,2020-09-13,10.9918339695139
"BVR",50,2020-09-14,10.9829826659028
"BVR",50,2020-09-15,10.9711418635417
"BVR",50,2020-09-16,10.9234776129545
"BVR",50,2020-09-17,10.9036598359722
"BVR",50,2020-09-18,10.9310447425694
"BVR",50,2020-09-19,10.9217802226389
"BVR",50,2020-09-20,10.9106138211806
"BVR",50,2020-09-21,10.8983477790278
"BVR",50,2020-09-22,10.888287681875
"BVR",50,2020-09-23,10.8788722890972
"BVR",50,2020-09-24,10.8697990582639
"BVR",50,2020-09-25,10.8908983688194
"BVR",50,2020-09-26,10.926696156875
"BVR",50,2020-09-27,10.9223501786806
"BVR",50,2020-09-28,10.9205751230556
"BVR",50,2020-09-29,10.9401083401389
"BVR",50,2020-09-30,10.9796024767361
"BVR",50,2020-10-01,10.9936880615789
"BVR",50,2020-10-02,11.0229314490972
"BVR",50,2020-10-03,11.0120750504167
"BVR",50,2020-10-04,11.0034352440278
"BVR",50,2020-10-05,11.0022508388889
"BVR",50,2020-10-06,10.998015193125
"BVR",50,2020-10-07,10.9894670838194
"BVR",50,2020-10-08,10.978666239375
"BVR",50,2020-10-09,10.9666700734722
"BVR",50,2020-10-10,10.9658089465972
"BVR",50,2020-10-11,10.9923417077083
"BVR",50,2020-10-12,11.0218745424306
"BVR",50,2020-10-13,11.0214459708333
"BVR",50,2020-10-14,11.0216623443662
"BVR",50,2020-10-15,11.0243443519444
"BVR",50,2020-10-16,11.0188428890972
"BVR",50,2020-10-17,11.0079691795139
"BVR",50,2020-10-18,10.9992463677083
"BVR",50,2020-10-19,10.9904359149306
"BVR",50,2020-10-20,10.9825896577083
"BVR",50,2020-10-21,10.9746068688889
"BVR",50,2020-10-22,10.9621929959722
"BVR",50,2020-10-23,10.9515344775694
"BVR",50,2020-10-24,10.9444782204167
"BVR",50,2020-10-25,10.9652972971528
"BVR",50,2020-10-26,10.966660050274
"BVR",50,2020-10-27,11.1171255960465
"BVR",50,2020-10-28,11.1171255960465
"BVR",50,2020-10-29,11.1171255960465
"BVR",50,2020-10-30,11.1171255960465
"BVR",50,2020-10-31,11.1184860389583
"BVR",50,2020-11-01,11.1323270835417
"BVR",50,2020-11-02,11.1379093064583
"BVR",50,2020-11-03,11.1329557807639
"BVR",50,2020-11-04,11.1270996254861
"BVR",50,2020-11-05,11.1226671652083
"BVR",50,2020-11-06,11.1185302215972
"BVR",50,2020-11-07,11.11404568375
"BVR",50,2020-11-08,11.1099547335417
"BVR",50,2020-11-09,11.10573297375
"BVR",50,2020-11-10,11.096771853
"BVR",50,2020-11-11,11.1729239753472
"BVR",50,2020-11-12,11.3813325413889
"BVR",50,2020-11-13,11.476743066875
"BVR",50,2020-11-14,11.4803155591667
"BVR",50,2020-11-15,11.4679281958333
"BVR",50,2020-11-16,11.4446826230556
"BVR",50,2020-11-17,11.41637879
"BVR",50,2020-11-18,11.3854120475694
"BVR",50,2020-11-19,11.3544608052778
"BVR",50,2020-11-20,11.3256164954167
"BVR",50,2020-11-21,11.3004081994444
"BVR",50,2020-11-22,11.2799535932639
"BVR",50,2020-11-23,11.26289742875
"BVR",50,2020-11-24,11.2458589372917
"BVR",50,2020-11-25,11.2323835945833
"BVR",50,2020-11-26,11.2231384136111
"BVR",50,2020-11-27,11.2133030684722
"BVR",50,2020-11-28,11.2030119178472
"BVR",50,2020-11-29,11.1929304536806
"BVR",50,2020-11-30,11.2365931136111
"BVR",50,2020-12-01,11.2428306881944
"BVR",50,2020-12-02,11.233286006875
"BVR",50,2020-12-03,11.2237367624306
"BVR",50,2020-12-04,11.2228024806944
"BVR",50,2020-12-05,11.2721189249306
"BVR",50,2020-12-06,11.2760629135417
"BVR",50,2020-12-07,11.2733115664583
"BVR",50,2020-12-08,11.2648102472917
"BVR",50,2020-12-09,11.2542056172222
"BVR",50,2020-12-10,11.2435332645833
"BVR",50,2020-12-11,11.2348267496528
"BVR",50,2020-12-12,11.2274194215972
"BVR",50,2020-12-13,11.2211288278472
"BVR",50,2020-12-14,11.2460227027778
"BVR",50,2020-12-15,11.258932725
"BVR",50,2020-12-16,11.26705117625
"BVR",50,2020-12-17,11.2776658017361
"BVR",50,2020-12-18,11.2732502177778
"BVR",50,2020-12-19,11.2668352607639
"BVR",50,2020-12-20,11.2606662779167
"BVR",50,2020-12-21,11.2543970511806
"BVR",50,2020-12-22,11.24569314375
"BVR",50,2020-12-23,11.2373656579167
"BVR",50,2020-12-24,11.2423473590972
"BVR",50,2020-12-25,11.2632848597917
"BVR",50,2020-12-26,11.254362429375
"BVR",50,2020-12-27,11.2445338202778
"BVR",50,2020-12-28,11.2387808061111
"BVR",50,2020-12-29,11.23287728125
"BVR",50,2020-12-30,11.2262401797222
"BVR",50,2020-12-31,11.2226132196528
"BVR",50,2021-01-01,11.2252973511806
"BVR",50,2021-01-02,11.2391439729167
"BVR",50,2021-01-03,11.2432950404861
"BVR",50,2021-01-04,11.241717358125
"BVR",50,2021-01-05,11.2396233907639
"BVR",50,2021-01-06,11.2357100402778
"BVR",50,2021-01-07,11.2308012766667
"BVR",50,2021-01-08,11.2299560120833
"BVR",50,2021-01-09,11.2286024298611
"BVR",50,2021-01-10,11.2217270318056
"BVR",50,2021-01-11,11.2190375404167
"BVR",50,2021-01-12,11.2163337077778
"BVR",50,2021-01-13,11.2123146811111
"BVR",50,2021-01-14,11.2072316495833
"BVR",50,2021-01-15,11.2063865298611
"BVR",50,2021-01-16,11.2073273303472
"BVR",50,2021-01-17,11.2025534324306
"BVR",50,2021-01-18,11.198856576875
"BVR",50,2021-01-19,11.194266725
"BVR",50,2021-01-20,11.1904951935417
"BVR",50,2021-01-21,11.1879263714583
"BVR",50,2021-01-22,11.1833521645833
"BVR",50,2021-01-23,11.1776200828472
"BVR",50,2021-01-24,11.1679395218056
"BVR",50,2021-01-25,11.1714770301389
"BVR",50,2021-01-26,11.2435787509722
"BVR",50,2021-01-27,11.2588744184028
"BVR",50,2021-01-28,11.2560685311111
"BVR",50,2021-01-29,11.2625073177778
"BVR",50,2021-01-30,11.252058703125
"BVR",50,2021-01-31,11.254259433125
"BVR",50,2021-02-01,11.2505883628472
"BVR",50,2021-02-02,11.2428451743056
"BVR",50,2021-02-03,11.2321003911111
"BVR",50,2021-02-04,11.2334105874306
"BVR",50,2021-02-05,11.2285493382639
"BVR",50,2021-02-06,11.2242388510417
"BVR",50,2021-02-07,11.2302683326389
"BVR",50,2021-02-08,11.2276061475694
"BVR",50,2021-02-09,11.2239984540278
"BVR",50,2021-02-10,11.2222377396528
"BVR",50,2021-02-11,11.2273145421528
"BVR",50,2021-02-12,11.2505262898611
"BVR",50,2021-02-13,11.2639374590972
"BVR",50,2021-02-14,11.2759570925
"BVR",50,2021-02-15,11.2909397875
"BVR",50,2021-02-16,11.3362558921528
"BVR",50,2021-02-17,11.3514110443056
"BVR",50,2021-02-18,11.3687948122222
"BVR",50,2021-02-19,11.3716716814583
"BVR",50,2021-02-20,11.362320751875
"BVR",50,2021-02-21,11.347317196875
"BVR",50,2021-02-22,11.342280810625
"BVR",50,2021-02-23,11.3374260802083
"BVR",50,2021-02-24,11.3263904883333
"BVR",50,2021-02-25,11.3183698183333
"BVR",50,2021-02-26,11.3135746982639
"BVR",50,2021-02-27,11.3216806914583
"BVR",50,2021-02-28,11.3342706430556
"BVR",50,2021-03-01,11.3468386481944
"BVR",50,2021-03-02,11.3431121685417
"BVR",50,2021-03-03,11.3355812739583
"BVR",50,2021-03-04,11.3263680348611
"BVR",50,2021-03-05,11.3143170390278
"BVR",50,2021-03-06,11.3032056123611
"BVR",50,2021-03-07,11.2934576184722
"BVR",50,2021-03-08,11.2781264935821
"BVR",50,2021-03-09,11.2647086996528
"BVR",50,2021-03-10,11.2580633410417
"BVR",50,2021-03-11,11.2526500261806
"BVR",50,2021-03-12,11.2505448320833
"BVR",50,2021-03-13,11.2450593039583
"BVR",50,2021-03-14,11.2402406439583
"BVR",50,2021-03-15,11.2341837836111
"BVR",50,2021-03-16,11.2341926201389
"BVR",50,2021-03-17,11.231566360625
"BVR",50,2021-03-18,11.2456927091667
"BVR",50,2021-03-19,11.2719230002778
"BVR",50,2021-03-20,11.2688720079861
"BVR",50,2021-03-21,11.2619095484028
"BVR",50,2021-03-22,11.2548934902083
"BVR",50,2021-03-23,11.2525086417361
"BVR",50,2021-03-24,11.2546389692361
"BVR",50,2021-03-25,11.2537264166667
"BVR",50,2021-03-26,11.2659377013194
"BVR",50,2021-03-27,11.2652447581944
"BVR",50,2021-03-28,11.2838120413889
"BVR",50,2021-03-29,11.2882811515278
"BVR",50,2021-03-30,11.2822329828472
"BVR",50,2021-03-31,11.2910331504861
"BVR",50,2021-04-01,11.2960443309028
"BVR",50,2021-04-02,11.2846593340278
"BVR",50,2021-04-03,11.2740833140278
"BVR",50,2021-04-04,11.2681100385417
"BVR",50,2021-04-05,11.2369529299194
"BVR",50,2021-04-06,11.2040594085417
"BVR",50,2021-04-07,11.19960167
"BVR",50,2021-04-08,11.195504635625
"BVR",50,2021-04-09,11.1959891236111
"BVR",50,2021-04-10,11.197289469375
"BVR",50,2021-04-11,11.2160884579167
"BVR",50,2021-04-12,11.2100064641667
