"DateTime","Depth","period","type","var","value","scenario"
2015-08-23,"0.1","calib","mod","wl",10.7625280556743,"baseline"
2015-08-23,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-24,"0.1","calib","mod","wl",10.7604555465537,"baseline"
2015-08-24,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-25,"0.1","calib","mod","wl",10.75830949091,"baseline"
2015-08-25,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-26,"0.1","calib","mod","wl",10.7520436330008,"baseline"
2015-08-26,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-27,"0.1","calib","mod","wl",10.7466207773698,"baseline"
2015-08-27,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-28,"0.1","calib","mod","wl",10.7438635839481,"baseline"
2015-08-28,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-29,"0.1","calib","mod","wl",10.7420909478624,"baseline"
2015-08-29,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-30,"0.1","calib","mod","wl",10.7403494012379,"baseline"
2015-08-30,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-31,"0.1","calib","mod","wl",10.7389019345416,"baseline"
2015-08-31,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-01,"0.1","calib","mod","wl",10.7375439421165,"baseline"
2015-09-01,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-02,"0.1","calib","mod","wl",10.7352820695357,"baseline"
2015-09-02,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-03,"0.1","calib","mod","wl",10.7328457440033,"baseline"
2015-09-03,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-04,"0.1","calib","mod","wl",10.7296616983694,"baseline"
2015-09-04,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-04,"0.1","calib","mod","chla",3.28583548184169,"baseline"
2015-09-04,"0.1","calib","obs","chla",1.3605,"baseline"
2015-09-05,"0.1","calib","mod","wl",10.7480528322902,"baseline"
2015-09-05,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-06,"0.1","calib","mod","wl",10.7439543617742,"baseline"
2015-09-06,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-07,"0.1","calib","mod","wl",10.7409262813303,"baseline"
2015-09-07,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-08,"0.1","calib","mod","wl",10.7381143181417,"baseline"
2015-09-08,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-09,"0.1","calib","mod","wl",10.7358594338125,"baseline"
2015-09-09,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-10,"0.1","calib","mod","wl",10.7342049498676,"baseline"
2015-09-10,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-11,"0.1","calib","mod","wl",10.7326551382187,"baseline"
2015-09-11,"0.1","calib","obs","wl",11.1,"baseline"
2015-09-12,"0.1","calib","mod","wl",10.7367550539275,"baseline"
2015-09-12,"0.1","calib","obs","wl",11.1090909090909,"baseline"
2015-09-13,"0.1","calib","mod","wl",10.7424104992936,"baseline"
2015-09-13,"0.1","calib","obs","wl",11.1181818181818,"baseline"
2015-09-14,"0.1","calib","mod","wl",10.7437380761861,"baseline"
2015-09-14,"0.1","calib","obs","wl",11.1272727272727,"baseline"
2015-09-15,"0.1","calib","mod","wl",10.7475621119011,"baseline"
2015-09-15,"0.1","calib","obs","wl",11.1363636363636,"baseline"
2015-09-16,"0.1","calib","mod","wl",10.7512751843381,"baseline"
2015-09-16,"0.1","calib","obs","wl",11.1454545454545,"baseline"
2015-09-17,"0.1","calib","mod","wl",10.7559910967442,"baseline"
2015-09-17,"0.1","calib","obs","wl",11.1545454545455,"baseline"
2015-09-18,"0.1","calib","mod","wl",10.7605267067364,"baseline"
2015-09-18,"0.1","calib","obs","wl",11.1636363636364,"baseline"
2015-09-18,"0.1","calib","mod","nh4",5.94013827371037,"baseline"
2015-09-18,"0.1","calib","obs","nh4",14,"baseline"
2015-09-18,"0.1","calib","mod","no3",0.231425800983625,"baseline"
2015-09-18,"0.1","calib","obs","no3",0.999999999999999,"baseline"
2015-09-18,"0.1","calib","mod","po4",0.986137961733771,"baseline"
2015-09-18,"0.1","calib","obs","po4",8,"baseline"
2015-09-18,"0.1","calib","mod","chla",3.35197537265293,"baseline"
2015-09-18,"0.1","calib","obs","chla",0.68,"baseline"
2015-09-18,"0.1","calib","obs","din",15,"baseline"
2015-09-18,"0.1","calib","mod","din",6.171564074694,"baseline"
2015-09-19,"0.1","calib","mod","wl",10.7651090004892,"baseline"
2015-09-19,"0.1","calib","obs","wl",11.1727272727273,"baseline"
2015-09-20,"0.1","calib","mod","wl",10.7701893034482,"baseline"
2015-09-20,"0.1","calib","obs","wl",11.1818181818182,"baseline"
2015-09-21,"0.1","calib","mod","wl",10.7748057263443,"baseline"
2015-09-21,"0.1","calib","obs","wl",11.1909090909091,"baseline"
2015-09-22,"0.1","calib","mod","wl",10.8142975870096,"baseline"
2015-09-22,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-23,"0.1","calib","mod","wl",10.8247177740379,"baseline"
2015-09-23,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-24,"0.1","calib","mod","wl",10.8178642791861,"baseline"
2015-09-24,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-25,"0.1","calib","mod","wl",10.8130652070457,"baseline"
2015-09-25,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-26,"0.1","calib","mod","wl",10.8115231131893,"baseline"
2015-09-26,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-27,"0.1","calib","mod","wl",10.8337409184814,"baseline"
2015-09-27,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-28,"0.1","calib","mod","wl",10.8658921383897,"baseline"
2015-09-28,"0.1","calib","obs","wl",11.2,"baseline"
2015-09-29,"0.1","calib","mod","wl",10.9150271166273,"baseline"
2015-09-29,"0.1","calib","obs","wl",11.275,"baseline"
2015-09-30,"0.1","calib","mod","wl",11.0153825480183,"baseline"
2015-09-30,"0.1","calib","obs","wl",11.35,"baseline"
2015-10-01,"0.1","calib","mod","wl",11.0574126470706,"baseline"
2015-10-01,"0.1","calib","obs","wl",11.425,"baseline"
2015-10-02,"0.1","calib","mod","wl",11.1005846739673,"baseline"
2015-10-02,"0.1","calib","obs","wl",11.5,"baseline"
2015-10-02,"0.1","calib","mod","nh4",12.8682053207165,"baseline"
2015-10-02,"0.1","calib","obs","nh4",3.00000000000001,"baseline"
2015-10-02,"0.1","calib","mod","no3",8.84672687665843,"baseline"
2015-10-02,"0.1","calib","obs","no3",2,"baseline"
2015-10-02,"0.1","calib","mod","po4",7.37383735945638,"baseline"
2015-10-02,"0.1","calib","obs","po4",6,"baseline"
2015-10-02,"0.1","calib","mod","chla",3.15699336407941,"baseline"
2015-10-02,"0.1","calib","obs","chla",3.7138,"baseline"
2015-10-02,"0.1","calib","obs","din",5,"baseline"
2015-10-02,"0.1","calib","mod","din",21.7149321973749,"baseline"
2015-10-03,"0.1","calib","mod","wl",11.1355281892296,"baseline"
2015-10-03,"0.1","calib","obs","wl",11.5333333333333,"baseline"
2015-10-04,"0.1","calib","mod","wl",11.175830172418,"baseline"
2015-10-04,"0.1","calib","obs","wl",11.5666666666667,"baseline"
2015-10-05,"0.1","calib","mod","wl",11.1922691135093,"baseline"
2015-10-05,"0.1","calib","obs","wl",11.6,"baseline"
2015-10-06,"0.1","calib","mod","wl",11.1848292433268,"baseline"
2015-10-06,"0.1","calib","obs","wl",11.6,"baseline"
2015-10-07,"0.1","calib","mod","wl",11.1797277728705,"baseline"
2015-10-07,"0.1","calib","obs","wl",11.6,"baseline"
2015-10-08,"0.1","calib","mod","wl",11.1760391711442,"baseline"
2015-10-08,"0.1","calib","obs","wl",11.6,"baseline"
2015-10-09,"0.1","calib","mod","wl",11.1736249691,"baseline"
2015-10-09,"0.1","calib","obs","wl",11.6,"baseline"
2015-10-10,"0.1","calib","mod","wl",11.1569904845071,"baseline"
2015-10-10,"0.1","calib","obs","wl",11.5714285714286,"baseline"
2015-10-11,"0.1","calib","mod","wl",11.1394151955224,"baseline"
2015-10-11,"0.1","calib","obs","wl",11.5428571428571,"baseline"
2015-10-12,"0.1","calib","mod","wl",11.1168380332071,"baseline"
2015-10-12,"0.1","calib","obs","wl",11.5142857142857,"baseline"
2015-10-13,"0.1","calib","mod","wl",11.094339543053,"baseline"
2015-10-13,"0.1","calib","obs","wl",11.4857142857143,"baseline"
2015-10-14,"0.1","calib","mod","wl",11.0717569406931,"baseline"
2015-10-14,"0.1","calib","obs","wl",11.4571428571429,"baseline"
2015-10-15,"0.1","calib","mod","wl",11.0488418758939,"baseline"
2015-10-15,"0.1","calib","obs","wl",11.4285714285714,"baseline"
2015-10-16,"0.1","calib","mod","wl",11.0261866873299,"baseline"
2015-10-16,"0.1","calib","obs","wl",11.4,"baseline"
2015-10-17,"0.1","calib","mod","wl",11.0117329359,"baseline"
2015-10-17,"0.1","calib","obs","wl",11.3833333333333,"baseline"
2015-10-18,"0.1","calib","mod","wl",10.9962538372312,"baseline"
2015-10-18,"0.1","calib","obs","wl",11.3666666666667,"baseline"
2015-10-19,"0.1","calib","mod","wl",10.9811263204446,"baseline"
2015-10-19,"0.1","calib","obs","wl",11.35,"baseline"
2015-10-20,"0.1","calib","mod","wl",10.9670607082408,"baseline"
2015-10-20,"0.1","calib","obs","wl",11.3333333333333,"baseline"
2015-10-21,"0.1","calib","mod","wl",10.9530965423531,"baseline"
2015-10-21,"0.1","calib","obs","wl",11.3166666666667,"baseline"
