"DateTime","Depth","var","value","scenario"
2020-03-19,"0.1","nh4",43.53825560441,"baseline"
2020-03-19,"0.1","no3",3.94782478753891,"baseline"
2020-03-19,"0.1","po4",2.34397396751054,"baseline"
2020-03-19,"0.1","chla",0.246695711131243,"baseline"
2020-03-19,"0.1","din",47.4860803919489,"baseline"
2020-03-20,"0.1","wl",11.0441176759515,"baseline"
2020-03-20,"0.1","temp",12.8741610421577,"baseline"
2020-03-20,"0.1","oxy",11.4739946572979,"baseline"
2020-03-20,"0.1","nh4",46.3549409553101,"baseline"
2020-03-20,"0.1","no3",3.92572923973091,"baseline"
2020-03-20,"0.1","po4",2.39382992058276,"baseline"
2020-03-20,"0.1","chla",0.263243014573747,"baseline"
2020-03-20,"0.1","din",50.280670195041,"baseline"
2020-03-21,"0.1","wl",11.0259582997658,"baseline"
2020-03-21,"0.1","temp",13.5025647692479,"baseline"
2020-03-21,"0.1","oxy",11.3740457451402,"baseline"
2020-03-21,"0.1","nh4",48.2656374171557,"baseline"
2020-03-21,"0.1","no3",3.91599395889852,"baseline"
2020-03-21,"0.1","po4",2.46937668506812,"baseline"
2020-03-21,"0.1","chla",0.277655830812555,"baseline"
2020-03-21,"0.1","din",52.1816313760542,"baseline"
2020-03-22,"0.1","wl",11.0088027353134,"baseline"
2020-03-22,"0.1","temp",13.3111934884056,"baseline"
2020-03-22,"0.1","oxy",10.9595307486526,"baseline"
2020-03-22,"0.1","nh4",42.3445163393301,"baseline"
2020-03-22,"0.1","no3",4.72387423991338,"baseline"
2020-03-22,"0.1","po4",3.07281570419778,"baseline"
2020-03-22,"0.1","chla",0.301809255698418,"baseline"
2020-03-22,"0.1","din",47.0683905792435,"baseline"
2020-03-23,"0.1","wl",10.9880891595287,"baseline"
2020-03-23,"0.1","temp",12.4731908270666,"baseline"
2020-03-23,"0.1","oxy",10.8572638483513,"baseline"
2020-03-23,"0.1","nh4",37.7531361708516,"baseline"
2020-03-23,"0.1","no3",4.07873342376043,"baseline"
2020-03-23,"0.1","po4",3.76195468508792,"baseline"
2020-03-23,"0.1","chla",0.286129365854333,"baseline"
2020-03-23,"0.1","din",41.831869594612,"baseline"
2020-03-24,"0.1","wl",10.9745503300298,"baseline"
2020-03-24,"0.1","temp",12.0528972693507,"baseline"
2020-03-24,"0.1","oxy",10.8988749061401,"baseline"
2020-03-24,"0.1","nh4",39.960874674046,"baseline"
2020-03-24,"0.1","no3",4.03527837077703,"baseline"
2020-03-24,"0.1","po4",3.77383058047387,"baseline"
2020-03-24,"0.1","chla",0.275702333281643,"baseline"
2020-03-24,"0.1","din",43.996153044823,"baseline"
2020-03-25,"0.1","wl",10.9947484116036,"baseline"
2020-03-25,"0.1","temp",11.7976674713301,"baseline"
2020-03-25,"0.1","oxy",10.9931138244361,"baseline"
2020-03-25,"0.1","nh4",38.9291192942156,"baseline"
2020-03-25,"0.1","no3",3.99573164619965,"baseline"
2020-03-25,"0.1","po4",3.98213684382654,"baseline"
2020-03-25,"0.1","chla",0.301934691591459,"baseline"
2020-03-25,"0.1","din",42.9248509404152,"baseline"
2020-03-26,"0.1","wl",11.0290871009591,"baseline"
