"time","FLOW"
2018-06-16,0.011
2018-06-17,0.3549
2018-06-18,0.0054
2018-06-19,0.0038
2018-06-20,0.3036
2018-06-21,0.1231
2018-06-22,0.0958
2018-06-23,0.0671
2018-06-24,0.0469
2018-06-25,0.3454
2018-06-26,0.1156
2018-06-27,0.0809
2018-06-28,0.0566
2018-06-29,0.0396
2018-06-30,0.3403
2018-07-01,0.0194
2018-07-02,0.0136
2018-07-03,0.0095
2018-07-04,0.0067
2018-07-05,0.0047
2018-07-06,0.0273
2018-07-07,0.0256
2018-07-08,0.0179
2018-07-09,0.3366
2018-07-10,0.0088
2018-07-11,0.0061
2018-07-12,0.0043
2018-07-13,0.003
2018-07-14,0.0021
2018-07-15,0.2561
2018-07-16,0.001
2018-07-17,7e-04
2018-07-18,5e-04
2018-07-19,4e-04
2018-07-20,2e-04
2018-07-21,0.0487
2018-07-22,0.0767
2018-07-23,0.1505
2018-07-24,0.1731
2018-07-25,0.2361
2018-07-26,0.1652
2018-07-27,0.1157
2018-07-28,0.081
2018-07-29,0.0567
2018-07-30,0.0397
2018-07-31,0.0551
2018-08-01,0.0633
2018-08-02,0.2726
2018-08-03,0.2584
2018-08-04,0.1809
2018-08-05,0.1266
2018-08-06,0.0886
2018-08-07,0.062
2018-08-08,0.0434
2018-08-09,0.0304
2018-08-10,0.0213
2018-08-11,0.0149
2018-08-12,0.0104
2018-08-13,0.0073
2018-08-14,0.0051
2018-08-15,0.0036
2018-08-16,0.2456
2018-08-17,0.0018
2018-08-18,0.1726
2018-08-19,0.1722
2018-08-20,0.1205
2018-08-21,0.1538
2018-08-22,0.1077
2018-08-23,0.0754
2018-08-24,0.2958
2018-08-25,0.0369
2018-08-26,0.0259
2018-08-27,0.0181
2018-08-28,0.0127
2018-08-29,0.0089
2018-08-30,0.1008
2018-08-31,0.0706
2018-09-01,0.2925
2018-09-02,0.0346
2018-09-03,0.2557
2018-09-04,0.0169
2018-09-05,0.2433
2018-09-06,0.0083
2018-09-07,0.2489
2018-09-08,0.2376
2018-09-09,0.2223
2018-09-10,0.4228
2018-09-11,0.296
2018-09-12,0.0358
2018-09-13,0.1871
2018-09-14,-0.0932
2018-09-15,0.1081
2018-09-16,0.0564
2018-09-17,0.4162
2018-09-18,0.0483
2018-09-19,0.2039
2018-09-20,-0.1003
2018-09-21,0.0999
2018-09-22,0.4463
2018-09-23,0.5638
2018-09-24,0.395
2018-09-25,0.0218
2018-09-26,0.1935
2018-09-27,0.2622
2018-09-28,0.1836
2018-09-29,0.1285
2018-09-30,0.0899
2018-10-01,0.063
2018-10-02,-0.28
2018-10-03,0.0309
2018-10-04,0.0216
2018-10-05,0.0151
2018-10-06,0.0106
2018-10-07,0.0074
2018-10-08,0.0052
2018-10-09,0.0382
2018-10-10,0.1031
2018-10-11,0.6945
2018-10-12,0.4862
2018-10-13,0.0278
2018-10-14,0.245
2018-10-15,0.1715
2018-10-16,0.1234
2018-10-17,0.0864
2018-10-18,0.0605
2018-10-19,0.0423
2018-10-20,0.0296
2018-10-21,0.0207
2018-10-22,0.0145
2018-10-23,0.0102
2018-10-24,0.0071
2018-10-25,0.005
2018-10-26,0.2189
2018-10-27,0.1532
2018-10-28,0.1223
2018-10-29,0.0856
2018-10-30,0.0599
2018-10-31,0.042
2018-11-01,0.0294
2018-11-02,0.1074
2018-11-03,-0.2373
2018-11-04,0.0526
2018-11-04,0.0369
2018-11-05,0.0553
2018-11-06,0.0387
2018-11-07,0.0271
2018-11-08,0.048
2018-11-09,0.0336
2018-11-10,0.0235
2018-11-11,0.2243
2018-11-12,0.1712
2018-11-13,0.1198
2018-11-14,0.3253
2018-11-15,0.2277
2018-11-16,0.1935
2018-11-17,0.1967
2018-11-18,0.2264
2018-11-19,0.1585
2018-11-20,0.1109
2018-11-21,0.0777
2018-11-22,0.0544
2018-11-23,0.2476
2018-11-24,0.1733
2018-11-25,0.1213
2018-11-26,0.0849
2018-11-27,0.0594
2018-11-28,0.0416
2018-11-29,0.0483
2018-11-30,0.0609
2018-12-01,0.0437
2018-12-02,0.0306
2018-12-03,0.0214
2018-12-04,0.015
2018-12-05,0.0105
2018-12-06,0.0073
2018-12-07,0.0051
2018-12-08,0.0036
2018-12-09,0.039
2018-12-10,0.0273
2018-12-11,0.0191
2018-12-12,0.0134
2018-12-13,0.1713
2018-12-14,0.2644
2018-12-15,0.211
2018-12-16,0.1477
2018-12-17,0.1034
2018-12-18,0.0724
2018-12-19,0.2895
2018-12-20,0.2583
2018-12-21,0.1808
2018-12-22,0.1266
2018-12-23,0.0886
2018-12-24,0.062
2018-12-25,0.0434
2018-12-26,0.0304
2018-12-27,0.3018
2018-12-28,0.2113
2018-12-29,0.1479
2018-12-30,0.1136
2018-12-31,0.0795
2019-01-01,0.0611
2019-01-02,0.0608
2019-01-03,0.0751
2019-01-04,0.0552
2019-01-05,0.0386
2019-01-06,0.027
2019-01-07,0.0189
2019-01-08,0.0132
2019-01-09,0.0093
2019-01-10,0.0065
2019-01-11,0.0045
2019-01-12,0.0032
2019-01-13,0.058
2019-01-14,0.063
2019-01-15,0.0441
2019-01-16,0.0309
2019-01-17,0.032
2019-01-18,0.0926
2019-01-19,0.1051
2019-01-20,0.0736
2019-01-21,0.0515
2019-01-22,0.058
2019-01-23,0.1248
2019-01-24,0.0874
2019-01-25,0.0612
2019-01-26,0.3553
2019-01-27,0.0409
2019-01-28,0.0407
2019-01-29,0.0285
2019-01-30,0.02
2019-01-31,0.014
2019-02-01,0.0098
2019-02-02,0.0068
2019-02-03,0.0048
2019-02-04,0.0034
2019-02-05,0.0023
2019-02-06,0.0185
2019-02-07,0.0129
2019-02-08,0.009
2019-02-09,0.0063
2019-02-10,0.0306
2019-02-11,0.1176
2019-02-12,0.0823
2019-02-13,0.0576
2019-02-14,0.0906
2019-02-15,0.1365
2019-02-16,0.117
2019-02-17,0.1693
2019-02-18,0.1185
2019-02-19,0.1057
2019-02-20,0.2408
2019-02-21,0.3667
2019-02-22,0.4069
2019-02-23,0.3275
2019-02-24,0.2479
2019-02-25,0.2041
2019-02-26,0.1429
2019-02-27,0.1294
2019-02-28,0.209
2019-03-01,0.1463
2019-03-02,0.1858
2019-03-03,0.13
2019-03-04,0.091
2019-03-05,0.0637
2019-03-06,0.0446
2019-03-07,0.0312
2019-03-08,0.051
