"dateTime","PRESsfc_110_SFC","PRESsfc_110_SFC.1","PRESsfc_110_SFC.2","PRESsfc_110_SFC.3"
2020-05-30 17:00:00,97456.0390625,96718.1171875,96915.8828125,97778.6015625
2020-05-30 18:00:00,97460.2265625,96715.90625,96916.8671875,97769.3515625
2020-05-30 19:00:00,97439.3203125,96694.359375,96895.3203125,97747.15625
2020-05-30 20:00:00,97417.78125,96672.8203125,96873.78125,97725.6171875
2020-05-30 21:00:00,97396.78125,96650.5390625,96852.140625,97703.9765625
2020-05-30 22:00:00,97459.71875,96705.796875,96911.8828125,97763.078125
2020-05-30 23:00:00,97522.671875,96761.046875,96971.6328125,97821.546875
2020-05-31 00:00:00,97585.6015625,96815.6796875,97031.359375,97880.640625
2020-05-31 01:00:00,97610.2265625,96829.4296875,97051.5078125,97899.5078125
2020-05-31 02:00:00,97635.3828125,96843.703125,97071.5390625,97918.8984375
2020-05-31 03:00:00,97659.8125,96857.2265625,97092.1328125,97938.2109375
2020-05-31 04:00:00,97673.921875,96877.7578125,97109.4375,97965.7578125
2020-05-31 05:00:00,97687.40625,96897.6484375,97126.7734375,97993.328125
2020-05-31 06:00:00,97700.8828125,96918.15625,97144.078125,98021.5234375
2020-05-31 07:00:00,97745.5390625,96958.34375,97186.1796875,98063.6171875
2020-05-31 08:00:00,97789.5703125,96998.53125,97228.9296875,98105.7265625
2020-05-31 09:00:00,97834.2265625,97038.046875,97271.671875,98147.828125
2020-05-31 10:00:00,97889.703125,97100.578125,97329.703125,98206.5
2020-05-31 11:00:00,97945.8203125,97162.4609375,97388.3828125,98265.8203125
2020-05-31 12:00:00,98001.9375,97224.34375,97447.0625,98325.140625
2020-05-31 13:00:00,98020.6171875,97248.78125,97468.296875,98346.3828125
2020-05-31 14:00:00,98039.203125,97273.7578125,97488.796875,98368.15625
2020-05-31 15:00:00,98057.7890625,97298.109375,97510.59375,98389.953125
2020-05-31 16:00:00,98028.3828125,97271.8984375,97481.8203125,98361.8203125
