DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4.1,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-20 11:01:37,5,1e-04,1.2,0.001,300,0.001,0.85,120.937194249323
2021-04-20 11:01:12,1e-04,1e-04,0.9,0.001,0.001,100,1.15,120.925915079595
2021-04-20 11:00:45,1e-04,5,0.9,0.001,300,0.001,0.85,120.929336211526
2021-04-20 11:00:19,1e-04,1e-04,0.9,0.001,300,100,0.85,107.646819275896
2021-04-20 10:59:54,5,1e-04,0.9,0.001,300,100,0.85,121.014147284037
2021-04-20 10:59:29,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 10:59:03,1e-04,5,1.2,300,300,0.001,0.85,228.081466812461
2021-04-20 10:58:37,5,5,0.9,0.001,0.001,100,0.85,120.890224381268
2021-04-20 10:58:11,1e-04,1e-04,0.9,300,300,100,1.15,1247.20733683692
2021-04-20 10:57:45,1e-04,5,0.9,300,300,100,1.15,1180.47824605773
2021-04-20 10:57:19,1e-04,1e-04,1.2,300,300,100,0.85,32576.525931105
2021-04-20 10:56:53,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:56:27,5,5,1.2,300,300,100,0.85,45594.861844322
2021-04-20 10:56:02,5,5,0.9,300,0.001,0.001,1.15,120.827829154352
2021-04-20 10:55:36,5,5,0.9,300,0.001,100,1.15,1227.64175255126
2021-04-20 10:55:11,5,1e-04,1.2,0.001,0.001,100,0.85,120.933298118399
2021-04-20 10:54:45,1e-04,1e-04,0.9,300,300,0.001,0.85,219.663362027147
2021-04-20 10:54:19,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 10:53:53,1e-04,1e-04,1.2,0.001,300,100,0.85,110.278746134724
2021-04-20 10:53:27,1e-04,1e-04,0.9,300,300,0.001,0.85,219.663362027147
2021-04-20 10:53:02,1e-04,3.08922404957363,1.2,0.001,300,0.001,0.85,120.929434608321
2021-04-20 10:52:36,1e-04,5,1.2,0.001,0.001,100,0.85,120.849362848636
2021-04-20 10:52:10,5,5,0.9,300,0.001,0.001,1.15,120.827829154352
2021-04-20 10:51:45,1e-04,1e-04,0.9,0.001,300,0.001,0.85,120.930310539063
2021-04-20 10:51:18,1e-04,5,1.2,0.001,0.001,100,1.15,120.926481946671
2021-04-20 10:50:53,5,5,1.2,300,300,0.001,1.15,120.802580636884
2021-04-20 10:50:27,5,1e-04,1.2,0.001,300,100,1.15,120.97513054375
2021-04-20 10:50:02,1e-04,5,1.2,300,0.001,0.001,0.85,223.662504189959
2021-04-20 10:49:36,5,5,0.9,300,0.001,100,0.85,44317.9842500538
2021-04-20 10:49:10,1e-04,5,1.2,0.001,0.001,100,0.85,120.849362848636
2021-04-20 10:48:44,1e-04,1e-04,1.2,300,0.001,0.001,1.15,120.608780322061
2021-04-20 10:48:18,1e-04,5,0.9,0.001,300,0.001,0.85,120.929336211526
2021-04-20 10:47:52,5,5,0.9,0.001,0.001,100,1.15,120.934850912212
2021-04-20 10:47:26,1e-04,5,1.2,300,300,100,0.85,32085.8544922068
2021-04-20 10:47:01,5,5,0.9,300,300,100,1.15,1250.46414722855
2021-04-20 10:46:35,1e-04,1e-04,0.9,300,300,100,1.15,1247.20733683692
2021-04-20 10:46:09,1e-04,1e-04,1.2,300,0.001,0.001,0.85,227.148370446128
2021-04-20 10:45:43,5,1e-04,1.2,300,300,0.001,1.15,120.924871864473
2021-04-20 10:45:18,5,1e-04,1.2,0.001,300,100,0.85,120.780453714867
2021-04-20 10:44:52,1e-04,5,0.9,0.001,0.001,0.001,0.85,120.929190223218
2021-04-20 10:44:27,1e-04,5,1.2,300,300,100,1.15,1160.64868044785
2021-04-20 10:44:01,1e-04,5,0.9,300,0.001,100,0.85,38431.3193201311
2021-04-20 10:43:35,1e-04,5,0.9,0.001,300,0.001,0.85,120.929336211526
2021-04-20 10:43:09,5,1e-04,1.2,0.001,0.001,0.001,0.85,120.937193079132
2021-04-20 10:42:43,1e-04,1e-04,1.2,0.001,0.001,0.001,0.85,120.930029571572
2021-04-20 10:42:17,1e-04,1e-04,1.2,0.001,300,100,0.85,110.278746134724
2021-04-20 10:41:51,1e-04,1e-04,1.2,0.001,0.001,0.001,1.15,120.931221539662
2021-04-20 10:41:26,5,1e-04,1.2,300,0.001,100,0.85,9612.70355579935
2021-04-20 10:41:00,1e-04,5,1.2,0.001,300,100,0.85,112.334757620853
2021-04-20 10:40:34,5,5,0.9,300,300,100,1.15,1250.46414722855
2021-04-20 10:40:08,1e-04,5,1.2,300,0.001,100,1.15,1127.38869050426
2021-04-20 10:39:38,1e-04,5,0.9,300,0.001,0.001,1.15,120.630800752644
2021-04-20 10:39:12,1e-04,1e-04,0.9,300,300,100,0.85,37221.5465635197
2021-04-20 10:38:44,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 10:38:18,5,1e-04,0.9,0.001,0.001,100,1.15,120.937185160458
2021-04-20 10:37:53,5,5,1.2,300,300,0.001,0.85,41028.4102470019
2021-04-20 10:37:27,5,1e-04,0.9,300,300,0.001,0.85,14036.8239805193
2021-04-20 10:37:02,5,1e-04,0.9,300,0.001,100,1.15,117.741577073467
2021-04-20 10:36:36,5,5,1.2,300,300,100,0.85,45594.861844322
2021-04-20 10:36:10,5,5,0.9,0.001,0.001,0.001,0.85,120.937185591343
2021-04-20 10:35:44,1e-04,5,1.2,300,0.001,0.001,1.15,120.602380168273
2021-04-20 10:35:19,1e-04,5,1.2,300,0.001,0.001,1.15,120.602380168273
2021-04-20 10:34:53,5,5,1.2,0.001,300,100,0.85,132.753302097269
2021-04-20 10:34:28,5,1e-04,1.2,0.001,300,0.001,0.85,120.937194249323
2021-04-20 10:34:02,5,1e-04,0.9,0.001,0.001,100,0.85,120.937010471389
2021-04-20 10:33:36,5,1e-04,0.9,0.001,0.001,0.001,1.15,120.937198719713
2021-04-20 10:33:10,1e-04,5,1.2,300,0.001,0.001,0.85,223.662504189959
2021-04-20 10:32:44,5,1e-04,0.9,0.001,300,100,1.15,120.948778318964
2021-04-20 10:32:19,5,5,0.9,0.001,300,100,1.15,136.486423387757
2021-04-20 10:31:54,5,5,0.9,300,300,0.001,1.15,120.829599738311
2021-04-20 10:31:29,5,5,1.2,0.001,0.001,0.001,1.15,120.937192225178
2021-04-20 10:31:02,5,1e-04,1.2,0.001,300,100,1.15,120.97513054375
2021-04-20 10:30:37,1e-04,5,1.2,300,300,0.001,0.85,228.081466812461
2021-04-20 10:30:11,5,5,0.9,300,300,0.001,1.15,120.829599738311
2021-04-20 10:29:45,5,1e-04,1.2,0.001,0.001,0.001,1.15,120.937196269035
2021-04-20 10:29:19,5,1e-04,1.2,300,300,0.001,1.15,120.924871864473
2021-04-20 10:28:48,5,5,0.9,0.001,0.001,100,0.85,120.884355928055
2021-04-20 10:28:22,1e-04,5,1.2,300,0.001,100,1.15,1117.81041784547
2021-04-20 10:27:56,1e-04,5,1.2,0.001,0.001,100,1.15,120.926481946671
