DateTime,Fsed_oxy,RMSE
2023-03-14 12:29:09,-23.8108385507435,-4.49534109026096
2023-03-14 12:29:05,-23.8108374490186,-4.49614602057881
2023-03-14 12:29:00,-23.8108397652776,-4.49487540012301
2023-03-14 12:28:55,-23.8108376427667,-4.49295846660573
2023-03-14 12:28:50,-23.8108391011908,-4.49673132698139
2023-03-14 12:28:45,-23.8108393704337,-4.49581600669574
2023-03-14 12:28:40,-23.810838010088,-4.49354489821373
2023-03-14 12:28:36,-23.8108388918105,-4.49642508493774
2023-03-14 12:28:32,-23.8108390454105,-4.49651611194824
2023-03-14 12:28:28,-23.8108356200839,-4.49408247099487
2023-03-14 12:28:24,-23.8108377780986,-4.49390918313093
2023-03-14 12:28:19,-23.8108379365377,-4.49459503884395
2023-03-14 12:28:15,-23.8108382637105,-4.49552175226341
2023-03-14 12:28:11,-23.8108386841704,-4.49449798742428
2023-03-14 12:28:06,-23.8108364601093,-4.4937768300793
2023-03-14 12:27:56,-23.8108386777564,-4.49466207711647
2023-03-14 12:27:51,-23.8108385106045,-4.49426326476535
2023-03-14 12:27:48,-23.810839309331,-4.49897114797527
2023-03-14 12:27:43,-23.810838408838,-4.49383711166563
2023-03-14 12:27:39,-23.8108347467327,-4.49675003578351
2023-03-14 12:27:35,-23.8108377269101,-4.49454155540461
2023-03-14 12:27:31,-23.8108362803843,-4.49277338488015
2023-03-14 12:27:27,-23.8108359820491,-4.49093300940033
2023-03-14 12:27:23,-23.8108370451445,-4.49231568146883
2023-03-14 12:27:19,-23.8108374027169,-4.49492768250951
2023-03-14 12:27:15,-23.8108348703042,-4.49124675088597
2023-03-14 12:27:11,-23.8108391936351,-4.4953691162439
2023-03-14 12:27:06,-23.8108355598911,-4.49332525146995
2023-03-14 12:27:02,-23.8108338313424,-4.49355352307083
2023-03-14 12:26:58,-23.8108366500181,-4.49264681376274
2023-03-14 12:26:53,-23.8108352205075,-4.49416854879041
2023-03-14 12:26:48,-23.8108347370398,-4.49647970406588
2023-03-14 12:26:43,-23.8108376058333,-4.49375237748879
2023-03-14 12:26:38,-23.8108362137493,-4.49362402758054
2023-03-14 12:26:33,-23.8108377829239,-4.49601313715437
2023-03-14 12:26:28,-23.8108375799617,-4.4962338447118
2023-03-14 12:26:22,-23.8108369928815,-4.49373696140747
2023-03-14 12:26:18,-23.8108346719592,-4.49560728472683
2023-03-14 12:26:14,-23.8108366464463,-4.49344551935875
2023-03-14 12:26:09,-23.8108373822121,-4.49215230244515
2023-03-14 12:26:04,-23.8108355874396,-4.49435004947183
2023-03-14 12:25:59,-23.8108351762551,-4.49588607742051
2023-03-14 12:25:54,-23.8108353220044,-4.49408102097935
2023-03-14 12:25:49,-23.8108350510281,-4.49176903719178
2023-03-14 12:25:45,-23.8108345316191,-4.49446377293723
2023-03-14 12:25:41,-23.8108350253605,-4.49281046758028
2023-03-14 12:25:36,-23.8108368880903,-4.49117166267487
2023-03-14 12:25:32,-23.8108373495569,-4.49634278051549
2023-03-14 12:25:28,-23.8108377726357,-4.4905669382928
2023-03-14 12:25:24,-23.810838457172,-4.492181335049
2023-03-14 12:25:19,-23.8108388259302,-4.49298513979249
2023-03-14 12:25:14,-23.8108371204012,-4.49537017088516
2023-03-14 12:25:10,-23.8108372674951,-4.49278852176823
2023-03-14 12:25:05,-23.8108369751252,-4.4935284250975
2023-03-14 12:25:00,-23.81083516856,-4.49371018876509
2023-03-14 12:24:56,-23.8108373796313,-4.49000206367491
2023-03-14 12:24:51,-23.8108358965041,-4.48980232490176
2023-03-14 12:24:46,-23.8108366779069,-4.49520899816389
2023-03-14 12:24:42,-23.8108373698429,-4.49747789977812
2023-03-14 12:24:38,-23.8108361851436,-4.49539306330261
2023-03-14 12:24:33,-23.8108334619621,-4.49553203314159
2023-03-14 12:24:29,-23.8108380211796,-4.49104043138494
2023-03-14 12:24:20,-23.8108358187403,-4.49454335328798
2023-03-14 12:24:14,-23.8108362529236,-4.48834940796462
