DateTime,Depth,surface_height
3/22/2016,11.7,11.7
3/23/2016,11.7,11.7
3/24/2016,11.7,11.7
3/25/2016,11.7,11.7
3/26/2016,11.7,11.7
3/27/2016,11.7,11.7
3/28/2016,11.6,11.6
3/29/2016,11.6,11.6
3/30/2016,11.6,11.6
3/31/2016,11.6,11.6
4/1/2016,11.6,11.6
4/2/2016,11.6,11.6
4/3/2016,11.6,11.6
4/4/2016,11.6,11.6
4/5/2016,11.6,11.6
4/6/2016,11.6,11.6
4/7/2016,11.6,11.6
4/8/2016,11.6,11.6
4/9/2016,11.6,11.6
4/10/2016,11.6,11.6
4/11/2016,11.6,11.6
4/12/2016,11.5,11.5
4/13/2016,11.5,11.5
4/14/2016,11.5,11.5
4/15/2016,11.5,11.5
4/16/2016,11.5,11.5
4/17/2016,11.5,11.5
4/18/2016,11.5,11.5
4/19/2016,11.5,11.5
4/20/2016,11.5,11.5
4/21/2016,11.4,11.4
4/22/2016,11.4,11.4
4/23/2016,11.4,11.4
4/24/2016,11.4,11.4
4/25/2016,11.4,11.4
4/26/2016,11.4,11.4
4/27/2016,11.4,11.4
4/28/2016,11.4,11.4
4/29/2016,11.4,11.4
4/30/2016,11.4,11.4
5/1/2016,11.4,11.4
5/2/2016,11.5,11.5
5/3/2016,11.5,11.5
5/4/2016,11.5,11.5
5/5/2016,11.5,11.5
5/6/2016,11.5,11.5
5/7/2016,11.5,11.5
5/8/2016,11.5,11.5
5/9/2016,11.6,11.6
5/10/2016,11.6,11.6
5/11/2016,11.6,11.6
5/12/2016,11.6,11.6
5/13/2016,11.6,11.6
5/14/2016,11.6,11.6
5/15/2016,11.6,11.6
5/16/2016,11.5,11.5
5/17/2016,11.5,11.5
5/18/2016,11.5,11.5
5/19/2016,11.5,11.5
5/20/2016,11.5,11.5
5/21/2016,11.5,11.5
5/22/2016,11.5,11.5
5/23/2016,11.4,11.4
5/24/2016,11.4,11.4
5/25/2016,11.4,11.4
5/26/2016,11.4,11.4
5/27/2016,11.4,11.4
5/28/2016,11.4,11.4
5/29/2016,11.4,11.4
5/30/2016,11.4,11.4
5/31/2016,11.4,11.4
6/1/2016,11.4,11.4
6/2/2016,11.4,11.4
6/3/2016,11.3,11.3
6/4/2016,11.3,11.3
6/5/2016,11.3,11.3
6/6/2016,11.3,11.3
6/7/2016,11.3,11.3
6/8/2016,11.3,11.3
6/9/2016,11.3,11.3
6/10/2016,11.3,11.3
6/11/2016,11.3,11.3
6/12/2016,11.3,11.3
6/13/2016,11.3,11.3
6/14/2016,11.3,11.3
6/15/2016,11.3,11.3
6/16/2016,11.3,11.3
6/17/2016,11.3,11.3
6/18/2016,11.3,11.3
6/19/2016,11.3,11.3
6/20/2016,11.3,11.3
6/21/2016,11.3,11.3
6/22/2016,11.3,11.3
6/23/2016,11.3,11.3
6/24/2016,11.3,11.3
6/25/2016,11.3,11.3
6/26/2016,11.3,11.3
6/27/2016,11.3,11.3
6/28/2016,11.3,11.3
6/29/2016,11.3,11.3
6/30/2016,11.3,11.3
7/1/2016,11.3,11.3
7/2/2016,11.3,11.3
7/3/2016,11.3,11.3
7/4/2016,11.3,11.3
7/5/2016,11.3,11.3
7/6/2016,11.3,11.3
7/7/2016,11.3,11.3
7/8/2016,11.3,11.3
7/9/2016,11.3,11.3
7/10/2016,11.3,11.3
7/11/2016,11.3,11.3
7/12/2016,11.3,11.3
7/13/2016,11.3,11.3
7/14/2016,11.3,11.3
7/15/2016,11.3,11.3
7/16/2016,11.3,11.3
7/17/2016,11.3,11.3
7/18/2016,11.3,11.3
7/19/2016,11.2,11.2
7/20/2016,11.2,11.2
7/21/2016,11.2,11.2
7/22/2016,11.2,11.2
7/23/2016,11.2,11.2
