DateTime,Depth,PHY_tchla
2016-08-11,8,3.8773
2016-08-11,9,2.364
2016-08-11,10,2.0698
2016-08-11,11,2.0347
2016-08-18,0.1,2.4539
2016-08-18,1,2.6192
2016-08-18,2,2.9532
2016-08-18,3,3.2475
2016-08-18,4,8.4928
2016-08-18,5,5.5089
2016-08-18,6,8.3384
2016-08-18,7,10.1449
2016-08-18,8,5.2637
2016-08-18,9,3.5617
2016-08-18,10,2.4338
2016-08-18,11,2.7974
2016-08-23,0.1,2.2813
2016-08-23,1,2.5811
2016-08-23,2,4.0066
2016-08-23,3,4.5848
2016-08-23,4,9.0184
2016-08-23,5,6.3995
2016-08-23,6,4.167
2016-08-23,7,5.3803
2016-08-23,8,3.1257
2016-08-23,9,2.9999
2016-08-23,10,2.5762
2016-08-23,11,2.4574
2016-09-06,0.1,5.2938
2016-09-06,1,5.2741
2016-09-06,2,6.066
2016-09-06,3,6.749
2016-09-06,4,6.8647
2016-09-06,5,6.8408
2016-09-06,6,7.8938
2016-09-06,7,4.235
2016-09-06,8,1.8381
2016-09-06,9,1.5521
2016-09-06,10,1.3676
2016-09-06,11,1.4444
2016-09-16,0.1,9.7589
2016-09-16,1,10.3386
2016-09-16,2,10.3161
2016-09-16,3,10.402
2016-09-16,4,15.2985
2016-09-16,5,12.776
2016-09-16,6,19.3879
2016-09-16,7,13.0989
2016-09-16,8,2.183
2016-09-16,9,1.1648
2016-09-16,10,1.7377
2016-09-16,11,1.4728
2016-09-17,0.1,6.8814
2016-09-17,1,9.2542
2016-09-17,2,7.9688
2016-09-17,3,9.1875
2016-09-17,4,9.169
2016-09-17,5,17.9124
2016-09-17,6,8.6776
2016-09-17,7,3.7492
2016-09-17,8,1.6013
2016-09-17,9,1.1718
2016-09-17,10,1.2812
2016-09-17,11,1.8407
2016-09-27,0.1,4.1265
2016-09-27,1,4.9395
2016-09-27,2,5.2315
2016-09-27,3,5.9056
2016-09-27,4,6.3494
2016-09-27,5,5.7166
2016-09-27,6,1.7307
2016-09-27,7,2.1456
2016-09-27,8,1.0407
2016-09-27,9,0.8564
2016-09-27,10,0.8315
2016-09-27,11,1.254
2016-10-11,0.1,1.2391
2016-10-11,1,1.9721
2016-10-11,2,2.5519
2016-10-11,3,2.4588
2016-10-11,4,2.7339
2016-10-11,5,2.7244
2016-10-11,6,2.1489
2016-10-11,7,3.6938
2016-10-11,8,3.7894
2016-10-11,9,2.2205
2016-10-11,10,2.2334
2016-10-11,11,1.5765
2016-11-11,0.1,1.7426
2016-11-11,1,1.9109
2016-11-11,2,2.2899
2016-11-11,3,2.2129
2016-11-11,4,2.1832
2016-11-11,5,2.1744
2016-11-11,6,2.5673
2016-11-11,7,2.3169
2016-11-11,8,2.5144
2016-11-11,9,2.3595
2016-11-11,10,2.1525
2016-11-11,11,2.5441
2017-03-17,0.1,0.7966
2017-03-17,1,1.1063
2017-03-17,2,2.1363
2017-03-17,3,2.7556
2017-03-17,4,3.29
2017-03-17,5,3.553
2017-03-17,6,3.8836
2017-03-17,7,3.7886
2017-03-17,8,4.0593
2017-03-17,9,4.1285
2017-03-17,10,4.0648
2017-03-17,11,4.1602
2017-04-10,0.1,1.5131
2017-04-10,1,1.7503
2017-04-10,2,1.7783
2017-04-10,3,2.3782
2017-04-10,4,3.9286
2017-04-10,5,3.4771
2017-04-10,6,3.8595
2017-04-10,7,2.6991
2017-04-10,8,3.1841
2017-04-10,9,2.8779
2017-04-10,10,2.6464
2017-04-10,11,1.718
2017-05-05,0.1,0.9942
2017-05-05,1,1.361
2017-05-05,2,2.4352
2017-05-05,3,3.1501
2017-05-05,4,3.8831
2017-05-05,5,2.6929
2017-05-05,6,2.6756
2017-05-05,7,1.9023
2017-05-05,8,0.8752
2017-05-05,9,0.5212
2017-05-05,10,0.7611
2017-05-05,11,1.1696
2017-05-10,0.1,1.6801
2017-05-10,1,2.7364
2017-05-10,2,2.5282
2017-05-10,3,2.5267
2017-05-10,4,2.5739
2017-05-10,5,1.7954
2017-05-10,6,1.3299
2017-05-10,7,1.1093
2017-05-10,8,0.5554
2017-05-10,9,0.6314
2017-05-10,10,0.5926
2017-05-10,11,1.0376
2018-05-04,0.1,0.6787
2018-05-04,1,1.2443
2018-05-04,2,1.9034
2018-05-04,3,3.3818
2018-05-04,4,3.955
2018-05-04,5,3.748
2018-05-04,6,3.3845
2018-05-04,7,2.6063
2018-05-04,8,1.9569
2018-05-04,9,1.3647
2018-05-04,10,1.2351
2018-05-04,11,1.0566
2018-05-11,0.1,0.921
2018-05-11,1,1.094
2018-05-11,2,2.0102
2018-05-11,3,2.1813
2018-05-11,4,2.6712
2018-05-11,5,3.0866
2018-05-11,6,1.5379
2018-05-11,7,1.9011
2018-05-11,8,1.4125
2018-05-11,9,1.0501
2018-05-11,10,1.133
2018-05-11,11,0.9665
2018-05-17,0.1,2.681
2018-05-17,1,4.1569
2018-05-17,2,2.3777
2018-05-17,3,3.3199
2018-05-17,4,3.8496
2018-05-17,5,2.224
2018-05-17,6,1.5407
2018-05-17,7,1.4517
2018-05-17,8,1.1484
2018-05-17,9,1.3142
2018-05-17,10,1.205
2018-05-17,11,1.2495
2018-05-24,0.1,1.0999
2018-05-24,1,1.6175
2018-05-24,2,5.4185
2018-05-24,3,2.9721
2018-05-24,4,3.0772
2018-05-24,5,3.5665
2018-05-24,6,1.8116
2018-05-24,7,1.0999
2018-05-24,8,0.7926
2018-05-24,9,1.5487
2018-05-24,10,1.1646
2018-05-24,11,1.112
2018-05-31,0.1,3.5693
2018-05-31,1,6.4508
2018-05-31,2,8.9793
2018-05-31,3,5.2067
2018-05-31,4,5.9552
2018-05-31,5,1.9443
2018-05-31,6,0.9755
2018-05-31,7,0.7128
2018-05-31,8,1.1746
2018-05-31,9,1.1239
2018-05-31,10,0.8574
2018-05-31,11,0.9257
2018-06-07,0.1,1.556
2018-06-07,1,2.8465
2018-06-07,2,4.129
2018-06-07,3,4.1593
2018-06-07,4,6.3565
2018-06-07,5,6.4872
2018-06-07,6,2.0884
2018-06-07,7,1.349
2018-06-07,8,1.9039
2018-06-07,9,1.397
2018-06-07,10,1.3137
2018-06-07,11,1.325
2018-06-14,0.1,2.0271
2018-06-14,1,2.473
2018-06-14,2,4.2837
2018-06-14,3,5.9214
2018-06-14,4,4.3362
2018-06-14,5,3.9642
2018-06-14,6,1.4219
2018-06-14,7,2.5288
2018-06-14,8,1.8448
2018-06-14,9,1.4465
2018-06-14,10,1.4401
2018-06-14,11,1.6248
2018-06-21,0.1,2.0785
2018-06-21,1,2.5394
2018-06-21,2,3.2592
2018-06-21,3,10.1496
2018-06-21,4,4.816
2018-06-21,5,2.4788
2018-06-21,6,3.1783
2018-06-21,7,3.2228
2018-06-21,8,1.941
2018-06-21,9,1.29
2018-06-21,10,1.1606
2018-06-21,11,1.3506
2018-06-28,0.1,2.2928
2018-06-28,1,4.0437
2018-06-28,2,4.5491
2018-06-28,3,4.7513
2018-06-28,4,1.3951
2018-06-28,5,2.9964
2018-06-28,6,1.5366
2018-06-28,7,1.0635
2018-06-28,8,1.0797
2018-06-28,9,1.0473
2018-06-28,10,0.9988
2018-06-28,11,0.9624
2018-07-05,0.1,1.5083
2018-07-05,1,4.0477
2018-07-05,2,3.1177
2018-07-05,3,5.8471
2018-07-05,4,1.1767
2018-07-05,5,3.146
2018-07-05,6,1.3587
2018-07-05,7,1.0473
2018-07-05,8,1.0837
2018-07-05,9,1.1686
2018-07-05,10,1.2374
2018-07-05,11,1.1646
2018-07-12,0.1,1.4962
2018-07-12,1,1.6013
2018-07-12,2,2.1027
2018-07-12,3,5.6773
2018-07-12,4,2.309
2018-07-12,5,1.6701
2018-07-12,6,0.926
2018-07-12,7,0.8452
2018-07-12,8,0.9422
2018-07-12,9,0.9665
2018-07-12,10,1.1727
2018-07-12,11,1.383
2018-07-19,0.1,2.3858
2018-07-19,1,2.8144
2018-07-19,2,14.541
2018-07-19,3,4.5936
2018-07-19,4,4.2661
2018-07-19,5,2.2321
2018-07-19,6,1.1646
2018-07-19,7,0.9624
2018-07-19,8,1.1686
2018-07-19,9,1.298
2018-07-19,10,1.2172
2018-07-19,11,1.2172
2018-07-26,0.1,3.3038
2018-07-26,1,6.6092
2018-07-26,2,7.6896
2018-07-26,3,8.1488
2018-07-26,4,3.795
2018-07-26,5,1.8645
2018-07-26,6,1.1676
2018-07-26,7,1.2967
2018-07-26,8,1.5599
2018-07-26,9,1.5599
2018-07-26,10,1.5599
2018-07-26,11,1.5599
2018-08-02,0.1,5.1435
2018-08-02,1,4.8645
2018-08-02,2,4.3429
2018-08-02,3,3.0247
2018-08-02,4,4.258
2018-08-02,5,2.0866
2018-08-02,6,1.6862
2018-08-02,7,1.6256
2018-08-02,8,1.29
2018-08-02,9,1.4274
2018-08-02,10,1.2414
2018-08-02,11,1.201
2018-08-09,0.1,3.1622
2018-08-09,1,4.6987
2018-08-09,2,5.0101
2018-08-09,3,4.8726
2018-08-09,4,3.5584
2018-08-09,5,3.2471
2018-08-09,6,1.6822
2018-08-09,7,1.4274
2018-08-09,8,1.4396
2018-08-09,9,1.6013
2018-08-09,10,1.6013
2018-08-09,11,1.6013
2018-08-16,0.1,6.5993
2018-08-16,1,9.9393
2018-08-16,2,10.7723
2018-08-16,3,12.0784
2018-08-16,4,5.0708
2018-08-16,5,5.7582
2018-08-16,6,2.1472
2018-08-16,7,1.9612
2018-08-16,8,1.9288
2018-08-16,9,1.941
2018-08-16,10,1.9895
2018-08-16,11,2.5192
2018-08-24,0.1,3.7606
2018-08-24,1,6.1828
2018-08-24,2,5.0869
2018-08-24,3,6.9147
2018-08-24,4,5.6854
2018-08-24,5,6.7933
